"","death_province","recovered_province","confirmed_province"
"2021-02-19","   1","  934","  935"
"2021-02-20","   1","  934","  935"
"2021-02-21","   1","  934","  935"
"2021-02-22","   1","  934","  935"
"2021-02-23","   1","  934","  935"
"2021-02-24","   1","  934","  935"
"2021-02-25","   1","  934","  935"
"2021-02-26","   1","  934","  935"
"2021-02-27","   1","  934","  935"
"2021-02-28","   1","  934","  935"
"2021-03-01","   1","  934","  935"
"2021-03-02","   1","  934","  935"
"2021-03-03","   1","  934","  935"
"2021-03-04","   1","  934","  935"
"2021-03-05","   1","  934","  935"
"2021-03-06","   1","  934","  935"
"2021-03-07","   1","  934","  935"
"2021-03-08","   1","  934","  935"
"2021-03-09","   1","  934","  935"
"2021-03-10","   1","  934","  935"
"2021-03-11","   1","  934","  935"
"2021-03-12","   1","  934","  935"
"2021-03-13","   1","  934","  935"
"2021-03-14","   1","  934","  935"
"2021-03-15","   1","  934","  935"
"2021-03-16","   1","  934","  935"
"2021-03-17","   1","  934","  935"
"2021-03-18","   1","  934","  935"
"2021-03-19","   1","  934","  935"
"2021-03-20","   1","  934","  935"
"2021-03-21","   1","  934","  936"
"2021-03-22","   1","  934","  936"
"2021-03-23","   1","  934","  936"
"2021-03-24","   1","  934","  936"
"2021-03-25","   1","  934","  936"
"2021-03-26","   1","  934","  936"
"2021-03-27","   1","  934","  937"
"2021-03-28","   1","  934","  937"
"2021-03-29","   1","  934","  937"
"2021-03-30","   1","  934","  937"
"2021-03-31","   1","  934","  937"
"2021-04-01","   1","  934","  937"
"2021-04-02","   1","  934","  937"
"2021-04-03","   1","  935","  937"
"2021-04-04","   1","  936","  937"
"2021-04-05","   1","  936","  937"
"2021-04-06","   1","  936","  937"
"2021-04-07","   1","  936","  937"
"2021-04-08","   1","  936","  937"
"2021-04-09","   1","  936","  937"
"2021-04-10","   1","  936","  937"
"2021-04-11","   1","  936","  937"
"2021-04-12","   1","  936","  937"
"2021-04-13","   1","  936","  937"
"2021-04-14","   1","  936","  937"
"2021-04-15","   1","  936","  937"
"2021-04-16","   1","  936","  937"
"2021-04-17","   1","  936","  937"
"2021-04-18","   1","  936","  937"
"2021-04-19","   1","  936","  937"
"2021-04-20","   1","  936","  937"
"2021-04-21","   1","  936","  937"
"2021-04-22","   1","  936","  937"
"2021-04-23","   1","  936","  937"
"2021-04-24","   1","  936","  937"
"2021-04-25","   1","  936","  937"
"2021-04-26","   1","  936","  937"
"2021-04-27","   1","  936","  937"
"2021-04-28","   1","  936","  937"
"2021-04-29","   1","  936","  937"
"2021-04-30","   1","  936","  937"
"2021-05-01","   1","  936","  937"
"2021-05-02","   1","  936","  937"
"2021-05-03","   1","  936","  937"
"2021-05-04","   1","  936","  937"
"2021-05-05","   1","  936","  937"
"2021-05-06","   1","  936","  937"
"2021-05-07","   1","  936","  937"
"2021-05-08","   1","  936","  937"
"2021-05-09","   1","  936","  937"
"2021-05-10","   1","  936","  937"
"2021-05-11","   1","  936","  937"
"2021-05-12","   1","  936","  937"
"2021-05-13","   1","  936","  937"
"2021-05-14","   1","  936","  937"
"2021-05-15","   1","  936","  937"
"2021-05-16","   1","  936","  937"
"2021-05-17","   1","  936","  937"
"2021-05-18","   1","  936","  937"
"2021-05-19","   1","  936","  937"
"2021-05-20","   1","  936","  937"
"2021-05-21","   1","  936","  937"
"2021-05-22","   1","  936","  937"
"2021-05-23","   1","  936","  937"
"2021-05-24","   1","  936","  937"
"2021-05-25","   1","  936","  937"
"2021-05-26","   1","  936","  937"
"2021-05-27","   1","  936","  937"
"2021-05-28","   1","  936","  937"
"2021-05-29","   1","  936","  937"
"2021-05-30","   1","  936","  937"
"2021-05-31","   1","  936","  937"
"2021-06-01","   1","  936","  937"
"2021-06-02","   1","  936","  937"
"2021-06-03","   1","  936","  937"
"2021-06-04","   1","  936","  937"
"2021-06-05","   1","  936","  937"
"2021-06-06","   1","  936","  937"
"2021-06-07","   1","  936","  937"
"2021-06-08","   1","  936","  937"
"2021-06-09","   1","  936","  937"
"2021-06-10","   1","  936","  937"
"2021-06-11","   1","  936","  937"
"2021-06-12","   1","  936","  937"
"2021-06-13","   1","  936","  937"
"2021-06-14","   1","  936","  937"
"2021-06-15","   1","  936","  937"
"2021-06-16","   1","  936","  937"
"2021-06-17","   1","  936","  937"
"2021-06-18","   1","  936","  937"
"2021-06-19","   1","  936","  937"
"2021-06-20","   1","  936","  937"
"2021-06-21","   1","  936","  937"
"2021-06-22","   1","  936","  937"
"2021-06-23","   1","  936","  937"
"2021-06-24","   1","  936","  937"
"2021-06-25","   1","  936","  937"
"2021-06-26","   1","  936","  937"
"2021-06-27","   1","  936","  937"
"2021-06-28","   1","  936","  937"
"2021-06-29","   1","  936","  937"
"2021-06-30","   1","  936","  937"
"2021-07-01","   1","  936","  937"
"2021-07-02","   1","  936","  937"
"2021-07-03","   1","  936","  937"
"2021-07-04","   1","  936","  937"
"2021-07-05","   1","  936","  937"
"2021-07-06","   1","  936","  937"
"2021-07-07","   1","  936","  937"
"2021-07-08","   1","  936","  937"
"2021-07-09","   1","  936","  937"
"2021-07-10","   1","  936","  937"
"2021-07-11","   1","  936","  937"
"2021-07-12","   1","  936","  937"
"2021-07-13","   1","  936","  937"
"2021-07-14","   1","  936","  937"
"2021-07-15","   1","  936","  937"
"2021-07-16","   1","  936","  937"
"2021-07-17","   1","  936","  937"
"2021-07-18","   1","  936","  937"
"2021-07-19","   1","  936","  937"
"2021-07-20","   1","  936","  937"
"2021-07-21","   1","  936","  937"
"2021-07-22","   1","  936","  937"
"2021-07-23","   1","  936","  937"
"2021-07-24","   1","  936","  937"
"2021-07-25","   1","  936","  937"
"2021-07-26","   1","  936","  937"
"2021-07-27","   1","  936","  937"
"2021-07-28","   1","  936","  937"
"2021-07-29","   1","  936","  937"
"2021-07-30","   1","  936","  937"
"2021-07-31","   1","  936","  937"
"2021-08-01","   1","  936","  937"
"2021-08-02","   1","  936","  937"
"2021-08-03","   1","  936","  937"
"2021-08-04","   1","  936","  937"
"2021-08-05","   1","  936","  937"
"2021-08-06","   1","  936","  937"
"2021-08-07","   1","  936","  937"
"2021-08-08","   1","  936","  937"
"2021-08-09","   1","  936","  937"
"2021-08-10","   1","  936","  937"
"2021-08-11","   1","  936","  937"
"2021-08-12","   1","  936","  937"
"2021-08-13","   1","  936","  937"
"2021-08-14","   1","  936","  937"
"2021-08-15","   1","  936","  937"
"2021-08-16","   1","  936","  937"
"2021-08-17","   1","  936","  937"
"2021-08-18","   1","  936","  937"
"2021-08-19","   1","  936","  937"
"2021-08-20","   1","  936","  937"
"2021-08-21","   1","  936","  937"
"2021-08-22","   1","  936","  937"
"2021-08-23","   1","  936","  937"
